,drugname,routeadmin,Notes,pain_med?,narcotic?,antiplatelet?,beta-blocker?,statin?,aspirin?,ace-inhibitor?
1283774,dextrose 50%-water,INTRAVENOU,Glucose?,no,no,no,no,no,no,no
5224435,dextrose-nacl 5-0.45 % iv soln,Intravenous,Glucose?,no,no,no,no,no,no,no
4535860,diazepam,ORAL,Anxiolytic and Sedative,no,no,no,no,no,no,no
5109290,diazepam,INTRAVENOU,Anxiolytic and Sedative,no,no,no,no,no,no,no
6521422,diazepam,PO,Anxiolytic and Sedative,no,no,no,no,no,no,no
3824991,diazepam 5 mg po tabs,PO,Anxiolytic and Sedative,no,no,no,no,no,no,no
4256266,digoxin,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
4023502,digoxin 0.25 mg/1 ml 2 ml inj,IV Push,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
4657426,digoxin 125 mcg po tabs,PO,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
484855,dilaudid,IV,opioid,yes,yes,no,no,no,no,no
213211,dilaudid 1mg/ml,IV,opioid,yes,yes,no,no,no,no,no
1400955,diltiazem,INTRAVENOU,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
3285366,diltiazem,DEVICE,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
3615610,diltiazem,ZPYXVEND,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
4721017,diltiazem hcl,IV,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
70694,diltiazem hcl 30 mg po tabs,PO,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
4173881,diphenhydramine,MISC,Antihistamine,no,no,no,no,no,no,no
4238407,diphenhydramine,PO,Antihistamine,no,no,no,no,no,no,no
6075317,diphenhydramine,IV,Antihistamine,no,no,no,no,no,no,no
258646,diphenhydramine 25 mg cap,PO,Antihistamine,no,no,no,no,no,no,no
4004917,diphenhydramine 50 mg/1 ml 1 ml inj,IV Push,Antihistamine,no,no,no,no,no,no,no
4637123,diphenhydramine hcl,.ROUTE,Antihistamine,no,no,no,no,no,no,no
4665796,diphenhydramine hcl,IV,Antihistamine,no,no,no,no,no,no,no
4910305,diphenhydramine hcl,ORAL,Antihistamine,no,no,no,no,no,no,no
5549222,diphenhydramine hcl,PO,Antihistamine,no,no,no,no,no,no,no
657726,diphenhydramine hcl 25 mg po caps,PO,Antihistamine,no,no,no,no,no,no,no
3714132,diphenhydramine hcl 25 mg po caps,Oral,Antihistamine,no,no,no,no,no,no,no
6935942,diphenhydramine hcl 50 mg/ml inj soln,IV,Antihistamine,no,no,no,no,no,no,no
5613556,diprivan,IV,Anesthetic?,no,no,no,no,no,no,no
476606,docusate,PO,Laxative,no,no,no,no,no,no,no
4361566,docusate sodium,Feeding Tube,Laxative,no,no,no,no,no,no,no
4361569,docusate sodium,Oral,Laxative,no,no,no,no,no,no,no
4661559,docusate sodium,PO,Laxative,no,no,no,no,no,no,no
5080115,docusate sodium,ORAL,Laxative,no,no,no,no,no,no,no
7264216,docusate sodium,ORAL/TUBE,Laxative,no,no,no,no,no,no,no
512028,docusate sodium (colace) cap 100 mg,PO,Laxative,no,no,no,no,no,no,no
1219261,docusate sodium (colace) capsule 100 mg,PO,Laxative,no,no,no,no,no,no,no
501002,docusate sodium (colace) oral liquid 100 mg,NGT,Laxative,no,no,no,no,no,no,no
228434,docusate sodium 100 mg cap,PO,Laxative,no,no,no,no,no,no,no
5552645,docusate sodium 100 mg capsule,Oral,Laxative,no,no,no,no,no,no,no
654585,docusate sodium 100 mg po caps,PO,Laxative,no,no,no,no,no,no,no
699727,docusate sodium 100 mg po caps,Oral,Laxative,no,no,no,no,no,no,no
6935935,docusate sodium 250 mg oral cap,Oral,Laxative,no,no,no,no,no,no,no
2695576,dopamine,IntraVENOUS,Blood pressure treatment,no,no,no,no,no,no,no
4795365,dulcolax,Rectal,Laxative,no,no,no,no,no,no,no
5613562,dulcolax,REC,Laxative,no,no,no,no,no,no,no
338448,dulcolax laxative,Rectal,Laxative,no,no,no,no,no,no,no
4792229,duoneb,Inhalation,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
5993531,duoneb,NEB,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
246827,duoneb 3 mg-0.5 mg/3 ml ud inh soln,SVN,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
1961529,ecotrin,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4758693,ecotrin ec,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
773815,enoxaparin,SC,anticoagulant,no,no,no,no,no,no,no
842727,enoxaparin,SQ,anticoagulant,no,no,no,no,no,no,no
862594,enoxaparin,SUBCUT,anticoagulant,no,no,no,no,no,no,no
3545762,enoxaparin,SUBCUTAN,anticoagulant,no,no,no,no,no,no,no
4361562,enoxaparin,Subcutaneous,anticoagulant,no,no,no,no,no,no,no
2513250,enoxaparin (lovenox) inj 40 mg,SUBQ,anticoagulant,no,no,no,no,no,no,no
234225,enoxaparin 30 mg/0.3 ml syr,SubQ,anticoagulant,no,no,no,no,no,no,no
175079,enoxaparin 40 mg/0.4 ml sub-q syringe .4 ml syringe,SubQ,anticoagulant,no,no,no,no,no,no,no
3992915,enoxaparin 40 mg/0.4 ml syr,SubQ,anticoagulant,no,no,no,no,no,no,no
3690708,enoxaparin inj,SUBQ,anticoagulant,no,no,no,no,no,no,no
3848072,enoxaparin sodium 30 mg/0.3ml sc soln,SC,anticoagulant,no,no,no,no,no,no,no
6788,enoxaparin sodium 40 mg/0.4ml sc soln,SC,anticoagulant,no,no,no,no,no,no,no
929743,ephedrine sulfate,.ROUTE,Treats low blood pressure?,no,no,no,no,no,no,no
2695575,epinephrine,IntraVENOUS,Treats low blood pressure?,no,no,no,no,no,no,no
3615615,epinephrine,ZPYXVEND,Treats low blood pressure?,no,no,no,no,no,no,no
2043948,epinephrine 8 mg in 250 ml ns,IV,Treats low blood pressure?,no,no,no,no,no,no,no
2046167,epinephrine 8 mg in 250 ml ns,IVPB,Treats low blood pressure?,no,no,no,no,no,no,no
5210793,esomeprazole inj,IV,Treats GURD?,no,no,no,no,no,no,no
7062200,etomidate,INTRAVENOU,Anesthetic?,no,no,no,no,no,no,no
338446,famotidine,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
773820,famotidine,NG,Antihistamine and antiacid,no,no,no,no,no,no,no
773821,famotidine,ORAL,Antihistamine and antiacid,no,no,no,no,no,no,no
875198,famotidine,PO,Antihistamine and antiacid,no,no,no,no,no,no,no
1318617,famotidine,GASTRIC TU,Antihistamine and antiacid,no,no,no,no,no,no,no
1350014,famotidine,INTRAVENOU,Antihistamine and antiacid,no,no,no,no,no,no,no
3615623,famotidine,ZPYXVEND,Antihistamine and antiacid,no,no,no,no,no,no,no
4271714,famotidine (pepcid) (2 mg/ml) inj dilution 20 mg,IV PUSH,Antihistamine and antiacid,no,no,no,no,no,no,no
4292758,famotidine (pepcid) (2 mg/ml) inj dilution 20 mg,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
4271719,famotidine (pepcid) tab 20 mg,PO,Antihistamine and antiacid,no,no,no,no,no,no,no
4303344,famotidine (pepcid) tab 20 mg,NGT,Antihistamine and antiacid,no,no,no,no,no,no,no
1532493,famotidine (pepcid) tablet 20 mg,Oral,Antihistamine and antiacid,no,no,no,no,no,no,no
777775,famotidine (pf),IV,Antihistamine and antiacid,no,no,no,no,no,no,no
4938019,famotidine (pf) 20 mg/2 ml iv soln,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
547739,famotidine 20 mg po tabs,PO,Antihistamine and antiacid,no,no,no,no,no,no,no
3889043,famotidine 20 mg po tabs,PER G TUBE,Antihistamine and antiacid,no,no,no,no,no,no,no
4458036,famotidine 20 mg po tabs,Oral,Antihistamine and antiacid,no,no,no,no,no,no,no
4006306,famotidine 20 mg tab,PO,Antihistamine and antiacid,no,no,no,no,no,no,no
5752176,famotidine 20 mg tab,NG,Antihistamine and antiacid,no,no,no,no,no,no,no
1127867,famotidine 20 mg tablet,Oral,Antihistamine and antiacid,no,no,no,no,no,no,no
228432,famotidine 20 mg/2 ml sdv inj,IV Push,Antihistamine and antiacid,no,no,no,no,no,no,no
301400,famotidine 20 mg/2 ml sdv inj,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
4123816,fentanyl,MISC,opioid,yes,yes,no,no,no,no,no
4561918,fentanyl,IV,opioid,yes,yes,no,no,no,no,no
6688533,fentanyl,DEVICE,opioid,yes,yes,no,no,no,no,no
3993454,fentanyl (pf) 50 mcg/1 ml 2 ml inj,IV Push,opioid,yes,yes,no,no,no,no,no
4010171,fentanyl (pf) 50 mcg/1 ml 2 ml inj,IV Sedation,opioid,yes,yes,no,no,no,no,no
4040271,fentanyl (pf) 50 mcg/1 ml 2 ml inj,IV,opioid,yes,yes,no,no,no,no,no
276733,fentanyl (pf) 50 mcg/1 ml 2 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
324745,fentanyl (pf) 50 mcg/1 ml 2 ml syr,IV Sedation,opioid,yes,yes,no,no,no,no,no
5683362,fentanyl 1000 mcg in 100 ml ns,IV,opioid,yes,yes,no,no,no,no,no
5683379,fentanyl 1000 mcg in 100 ml ns,IVPB,opioid,yes,yes,no,no,no,no,no
2531464,fentanyl 2000 mcg in d5w 100 ml infusion final conc = 20 mcg/ml,IV,opioid,yes,yes,no,no,no,no,no
5069103,fentanyl 2000 mcg/100 ml ns,COSIG IV,opioid,yes,yes,no,no,no,no,no
5109306,fentanyl 2000 mcg/100 ml ns,INTRAVENOU,opioid,yes,yes,no,no,no,no,no
7077838,fentanyl 2000 mcg/100 ml ns,ZPYXVEND,opioid,yes,yes,no,no,no,no,no
7145378,fentanyl 25 mcg/ml iv soln,IV,opioid,yes,yes,no,no,no,no,no
870208,fentanyl citrate,.ROUTE,opioid,yes,yes,no,no,no,no,no
875651,fentanyl citrate,IV,opioid,yes,yes,no,no,no,no,no
5069101,fentanyl citrate (pf),INTRAVENOU,opioid,yes,yes,no,no,no,no,no
7077835,fentanyl citrate (pf),ZPYXVEND,opioid,yes,yes,no,no,no,no,no
1166030,fentanyl citrate (pf) 50 mcg/ml inj soln,IV,opioid,yes,yes,no,no,no,no,no
1445910,fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
5224487,fentanyl citrate 0.05 mg/ml inj soln (range) prn,Intravenous,opioid,yes,yes,no,no,no,no,no
3922344,fentanyl citrate inj,INJ,opioid,yes,yes,no,no,no,no,no
3933074,fentanyl citrate inj,.ROUTE,opioid,yes,yes,no,no,no,no,no
5549216,fentanyl citrate inj,IVP,opioid,yes,yes,no,no,no,no,no
6165971,fentanyl inj 25 mcg,IV PUSH,opioid,yes,yes,no,no,no,no,no
6117319,fentanyl inj 50 mcg,IV PUSH,opioid,yes,yes,no,no,no,no,no
5290482,fentanyl standard infusion 10 mcg/ml premix,IV,opioid,yes,yes,no,no,no,no,no
484852,flagyl,IVPB,Antibiotic,no,no,no,no,no,no,no
4853927,flomax,Oral,Treatment for enlarged prostate?,no,no,no,no,no,no,no
3849532,fluticasone-salmeterol 250-50 mcg/dose in aepb,IN,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
5647377,folic acid,PO,Vitamin B?,no,no,no,no,no,no,no
3848074,folic acid 1 mg po tabs,PO,Vitamin B?,no,no,no,no,no,no,no
3848079,folic acid 1 mg po tabs,PER NG TUBE,Vitamin B?,no,no,no,no,no,no,no
2056188,folic acid 1 mg tab,PO,Vitamin B?,no,no,no,no,no,no,no
2119309,folic acid 1 mg tab,NG,Vitamin B?,no,no,no,no,no,no,no
3848081,folic acid 5 mg/ml ij soln,IV,Vitamin B?,no,no,no,no,no,no,no
6189669,folic acid 5 mg/ml ij soln,IV PUSH,Vitamin B?,no,no,no,no,no,no,no
335537,furosemide,MISC,Diuretic,no,no,no,no,no,no,no
480853,furosemide,IV,Diuretic,no,no,no,no,no,no,no
929716,furosemide,PO,Diuretic,no,no,no,no,no,no,no
1383284,furosemide,INTRAVENOU,Diuretic,no,no,no,no,no,no,no
1530395,furosemide,INTRAVEN,Diuretic,no,no,no,no,no,no,no
2699777,furosemide,IntraVENOUS,Diuretic,no,no,no,no,no,no,no
2858653,furosemide,ORAL,Diuretic,no,no,no,no,no,no,no
3231063,furosemide,DEVICE,Diuretic,no,no,no,no,no,no,no
3607998,furosemide,ZPYXVEND,Diuretic,no,no,no,no,no,no,no
6144671,furosemide (lasix) inj 20 mg,IV PUSH,Diuretic,no,no,no,no,no,no,no
525566,furosemide (lasix) inj 40 mg,IV PUSH,Diuretic,no,no,no,no,no,no,no
4989649,furosemide (lasix) injection 20 mg,IV,Diuretic,no,no,no,no,no,no,no
4997641,furosemide (lasix) injection 40 mg,IV,Diuretic,no,no,no,no,no,no,no
2591217,furosemide (lasix) tab 40 mg,PO,Diuretic,no,no,no,no,no,no,no
1233069,furosemide (lasix) tablet 40 mg,PO,Diuretic,no,no,no,no,no,no,no
3500377,furosemide (lasix) tablet 40 mg,Oral,Diuretic,no,no,no,no,no,no,no
4016773,furosemide 10 mg/1 ml 2ml sdv inj,IV Push,Diuretic,no,no,no,no,no,no,no
4108867,furosemide 10 mg/1 ml 2ml sdv inj,IV,Diuretic,no,no,no,no,no,no,no
252602,furosemide 10 mg/1 ml 4ml sdv inj,IV Push,Diuretic,no,no,no,no,no,no,no
276732,furosemide 10 mg/1 ml 4ml sdv inj,IV,Diuretic,no,no,no,no,no,no,no
5146867,furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
5224472,furosemide 10 mg/ml inj soln,Intravenous,Diuretic,no,no,no,no,no,no,no
7174331,furosemide 10mg/ml sso,IV,Diuretic,no,no,no,no,no,no,no
3817575,furosemide 20 mg po tabs,PO,Diuretic,no,no,no,no,no,no,no
2176359,furosemide 20 mg tab,PO,Diuretic,no,no,no,no,no,no,no
3817568,furosemide 40 mg po tabs,PO,Diuretic,no,no,no,no,no,no,no
4063469,furosemide 40 mg tab,PO,Diuretic,no,no,no,no,no,no,no
484853,gabapentin,PO,anticonvulsant,maybe,no,no,no,no,no,no
45337,gabapentin 100 mg po caps,PO,anticonvulsant,maybe,no,no,no,no,no,no
251486,gabapentin 300 mg cap,PO,anticonvulsant,maybe,no,no,no,no,no,no
5462446,gabapentin 300 mg po caps,PO,anticonvulsant,maybe,no,no,no,no,no,no
1969732,glucagen,IM,antihypoglycemic,no,no,no,no,no,no,no
1310850,glucagon,SUBCUTAN,antihypoglycemic,no,no,no,no,no,no,no
2996806,glucagon,IM,antihypoglycemic,no,no,no,no,no,no,no
6232829,glucagon,Subcutaneous,antihypoglycemic,no,no,no,no,no,no,no
6232831,glucagon,IntraMUSCULAR,antihypoglycemic,no,no,no,no,no,no,no
6416049,glucagon (human recombinant),SC,antihypoglycemic,no,no,no,no,no,no,no
6916933,glucagon (human recombinant) 1 mg/ml solution for injection,SubQ,antihypoglycemic,no,no,no,no,no,no,no
6916935,glucagon (human recombinant) 1 mg/ml solution for injection,IM,antihypoglycemic,no,no,no,no,no,no,no
228908,glucagon 1 mg (1 unit) inj,SubQ,antihypoglycemic,no,no,no,no,no,no,no
1576500,glucagon hcl (rdna) 1 mg ij solr,IM,antihypoglycemic,no,no,no,no,no,no,no
3714095,glucagon hcl (rdna) 1 mg inj solr,Subcutaneous,antihypoglycemic,no,no,no,no,no,no,no
3674937,glucagon inj,IM,antihypoglycemic,no,no,no,no,no,no,no
1310848,glucose,ORAL,Glucose,no,no,no,no,no,no,no
3995208,glucose 15 gram/60 ml bq liq,PO,Glucose,no,no,no,no,no,no,no
4040265,glucose 15 gram/60 ml bq liq,FT,Glucose,no,no,no,no,no,no,no
235627,glucose 40% 15 gram bq gel,PO,Glucose,no,no,no,no,no,no,no
6416056,glucose 40% gel,ORAL,Glucose,no,no,no,no,no,no,no
1504391,glucose-vitamin c 4-0.006 g po chew,Oral,Glucose,no,no,no,no,no,no,no
1969736,glutose 15,PO,antihypoglycemic,no,no,no,no,no,no,no
6607406,glycopyrrolate,IM,Treats peptic ulcers?,no,no,no,no,no,no,no
905,guaifenesin er 600 mg po tb12,PO,Treats coughs and colds,no,no,no,no,no,no,no
213202,haldol,IV,Antipsychotic,maybe,no,no,no,no,no,no
213203,haldol,IM,Antipsychotic,maybe,no,no,no,no,no,no
802707,haloperidol,IV,Antipsychotic,maybe,no,no,no,no,no,no
802709,haloperidol,IM,Antipsychotic,maybe,no,no,no,no,no,no
2881028,haloperidol,ORAL,Antipsychotic,maybe,no,no,no,no,no,no
2082289,haloperidol 5 mg/1 ml 1 ml inj,IV Push,Antipsychotic,maybe,no,no,no,no,no,no
2141974,haloperidol 5 mg/1 ml 1 ml inj,IM,Antipsychotic,maybe,no,no,no,no,no,no
2850497,haloperidol lactate,IV,Antipsychotic,maybe,no,no,no,no,no,no
3604921,haloperidol lactate,INTRAVENOU,Antipsychotic,maybe,no,no,no,no,no,no
335528,heparin,MISC,anticoagulant,no,no,no,no,no,no,no
335539,heparin,IV,anticoagulant,no,no,no,no,no,no,no
484856,heparin,Subcutan,anticoagulant,no,no,no,no,no,no,no
2386198,heparin,Subcut,anticoagulant,no,no,no,no,no,no,no
3285651,heparin,DEVICE,anticoagulant,no,no,no,no,no,no,no
4539252,heparin,INTRA-ARTERIAL,anticoagulant,no,no,no,no,no,no,no
5044579,heparin,.ROUTE,anticoagulant,no,no,no,no,no,no,no
6442488,heparin,SC,anticoagulant,no,no,no,no,no,no,no
3962067,heparin (porcine),SUBQ,anticoagulant,no,no,no,no,no,no,no
6410419,heparin (porcine),Subcutaneous,anticoagulant,no,no,no,no,no,no,no
3450319,heparin (porcine)  1000 unit/ml inj soln,IV,anticoagulant,no,no,no,no,no,no,no
4885016,"heparin (porcine) 1,000 unit/ml injection : 10 ml vial",IV,anticoagulant,no,no,no,no,no,no,no
4758694,"heparin (porcine) 5,000 unit/ml injection : 1 ml vial",subCUT,anticoagulant,no,no,no,no,no,no,no
4827523,"heparin (porcine) 5,000 unit/ml injection : 1 ml vial",IV,anticoagulant,no,no,no,no,no,no,no
6744247,heparin (porcine) in 1/2 ns,IV,anticoagulant,no,no,no,no,no,no,no
2719237,heparin (porcine) in nacl 100-0.45 unit/ml-% ij soln,IV,anticoagulant,no,no,no,no,no,no,no
4998830,"heparin (porcine) injection 5,000 units",SC,anticoagulant,no,no,no,no,no,no,no
1350020,"heparin 1,000 unit/ml",INTRAVENOU,anticoagulant,no,no,no,no,no,no,no
3577454,"heparin 1,000 unit/ml",ZPYXVEND,anticoagulant,no,no,no,no,no,no,no
231401,"heparin 25,000 unit(s) in d5w 25",IV,anticoagulant,no,no,no,no,no,no,no
2341645,"heparin 25,000 unit(s) in d5w 25",IVPB,anticoagulant,no,no,no,no,no,no,no
5051160,"heparin 25,000 unit/500 ml d5w",INTRAVENOU,anticoagulant,no,no,no,no,no,no,no
5080114,"heparin 25,000 unit/500 ml d5w",COSIG IV,anticoagulant,no,no,no,no,no,no,no
1310866,"heparin 5,000 unit/ml",SUBCUTAN,anticoagulant,no,no,no,no,no,no,no
3566678,"heparin 5,000 unit/ml",ZPYXVEND,anticoagulant,no,no,no,no,no,no,no
3604936,"heparin 5,000 unit/ml",INTRAVENOU,anticoagulant,no,no,no,no,no,no,no
228431,heparin 5000 unit/ml 1ml inj,SubQ,anticoagulant,no,no,no,no,no,no,no
233591,heparin 5000 unit/ml 1ml inj,IV,anticoagulant,no,no,no,no,no,no,no
238361,heparin 5000 unit/ml 1ml inj,IV Push,anticoagulant,no,no,no,no,no,no,no
257831,heparin 5000 unit/ml 1ml inj,Catheter,anticoagulant,no,no,no,no,no,no,no
2513256,"heparin inj 5,000 units",IV PUSH,anticoagulant,no,no,no,no,no,no,no
2531501,"heparin inj 5,000 units",SUBQ,anticoagulant,no,no,no,no,no,no,no
2576942,"heparin inj 5,000 units",IA,anticoagulant,no,no,no,no,no,no,no
862595,heparin sod (porcine),.ROUTE,anticoagulant,no,no,no,no,no,no,no
887604,heparin sod (porcine),SUBCUT,anticoagulant,no,no,no,no,no,no,no
902766,heparin sod (porcine),IV,anticoagulant,no,no,no,no,no,no,no
5154025,heparin sodium (porcine) 5000 unit/ml ij soln,IV,anticoagulant,no,no,no,no,no,no,no
7138757,heparin sodium (porcine) 5000 unit/ml ij soln,SC,anticoagulant,no,no,no,no,no,no,no
5225630,heparin sodium (porcine) pf 5000 unit/0.5ml inj soln,Subcutaneous,anticoagulant,no,no,no,no,no,no,no
7219255,heparin sodium lock flush 10 unit/ml iv soln,Flush,anticoagulant,no,no,no,no,no,no,no
489115,heparin subcutaneous,Subcutan,anticoagulant,no,no,no,no,no,no,no
1166028,"heparin, porcine (pf) 5000 unit/0.5 ml inj syringe",SubQ,anticoagulant,no,no,no,no,no,no,no
862590,heparin/dextrose 5% 25000 units/250 ml bag,IV,anticoagulant,no,no,no,no,no,no,no
3982749,humulin r,SUBQ,Diabetes medication,no,no,no,no,no,no,no
424599,hydralazine,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
1383292,hydralazine,INTRAVENOU,High blood pressure - vasodilator,no,no,no,no,no,no,no
4034395,hydralazine 20 mg/1 ml 1 ml inj,IV Push,High blood pressure - vasodilator,no,no,no,no,no,no,no
5676651,hydralazine 20 mg/1 ml 1 ml inj,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
887594,hydralazine hcl,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
5146872,hydralazine hcl 20 mg/ml ij soln,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
1489207,hydralazine hcl 20 mg/ml inj soln (range) prn,Intravenous,High blood pressure - vasodilator,no,no,no,no,no,no,no
3837808,hydralazine hcl 25 mg po tabs,PO,High blood pressure - vasodilator,no,no,no,no,no,no,no
5339141,hydralazine hcl 50 mg po tabs,PO,High blood pressure - vasodilator,no,no,no,no,no,no,no
1887532,hydrocodone 5 mg-acetaminophen 325 mg tablet,Oral,opioid,yes,yes,no,no,no,no,no
4345887,hydrocodone-acetaminophen,Oral,opioid,yes,yes,no,no,no,no,no
109716,hydrocodone-acetaminophen 10-325 mg po tabs,PO,opioid,yes,yes,no,no,no,no,no
3836594,hydrocodone-acetaminophen 5-325 mg po tabs,PO,opioid,yes,yes,no,no,no,no,no
3848071,hydrocodone-acetaminophen 5-325 mg po tabs,PER NG TUBE,opioid,yes,yes,no,no,no,no,no
4491527,hydrocodone-acetaminophen 5-325 mg po tabs,Oral,opioid,yes,yes,no,no,no,no,no
5413675,hydrocodone-acetaminophen 5-325 mg po tabs,PEG TUBE,opioid,yes,yes,no,no,no,no,no
3754777,hydrocodone/apap 5mg/325mg,ORAL,opioid,yes,yes,no,no,no,no,no
3998059,hydrocortisone  (pf) 100 mg inj,IV Push,Steroid,No,No,no,no,no,no,no
4040281,hydrocortisone  (pf) 100 mg inj,IV,Steroid,No,No,no,no,no,no,no
3848080,hydrocortisone sod succinate 100 mg ij solr,IV,Steroid,No,No,no,no,no,no,no
776348,hydromorphone,Intravenous,opioid,yes,yes,no,no,no,no,no
2495794,hydromorphone,IV,opioid,yes,yes,no,no,no,no,no
540158,hydromorphone (dilaudid) 1 mg/ml inj 0.5 mg,IV PUSH,opioid,yes,yes,no,no,no,no,no
3450341,hydromorphone (pf)  1 mg/ml inj syringe,IV,opioid,yes,yes,no,no,no,no,no
4106426,hydromorphone 1 mg/1 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
5257318,hydromorphone hcl,INTRAVEN,opioid,yes,yes,no,no,no,no,no
6513489,hydromorphone hcl,IV,opioid,yes,yes,no,no,no,no,no
7264196,hydromorphone hcl,ORAL,opioid,yes,yes,no,no,no,no,no
3933079,hydromorphone inj,IVP,opioid,yes,yes,no,no,no,no,no
2925377,ibuprofen,ORAL,NSAID,yes,no,no,no,no,no,no
1108151,imdur,Oral,Treats heart related chest pain,no,no,no,no,no,no,no
2043919,insulin (regular) 100 units in 1,IVPB,Diabetes medication,no,no,no,no,no,no,no
2043920,insulin (regular) 100 units in 1,IV,Diabetes medication,no,no,no,no,no,no,no
1290505,insulin aspart,SUBCUTAN,Diabetes medication,no,no,no,no,no,no,no
4668517,insulin aspart,SUBCUT,Diabetes medication,no,no,no,no,no,no,no
6140296,insulin aspart (novolog) inj,SUBQ,Diabetes medication,no,no,no,no,no,no,no
672360,insulin aspart 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
474037,insulin aspart corrective dosing,Subcutan,Diabetes medication,no,no,no,no,no,no,no
945603,insulin detemir,SUBCUT,Diabetes medication,no,no,no,no,no,no,no
5580410,insulin detemir 100 unit/ml sub-q 10 ml vial,SubQ,Diabetes medication,no,no,no,no,no,no,no
7255695,insulin hum-reg (per unit),INTRAVEN,Diabetes medication,no,no,no,no,no,no,no
1530387,insulin humalog (per unit),SUBCUTAN,Diabetes medication,no,no,no,no,no,no,no
780977,insulin human regular,SC,Diabetes medication,no,no,no,no,no,no,no
5249976,insulin lantus (per unit),SUBCUTAN,Diabetes medication,no,no,no,no,no,no,no
5046966,insulin lispro,SUBCUTAN,Diabetes medication,no,no,no,no,no,no,no
7257855,insulin lispro (humalog) injection 0-20 units,Subcutaneous,Diabetes medication,no,no,no,no,no,no,no
1442123,insulin lispro (human) 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
5224462,insulin lispro (human) 100 unit/ml subcu soln extemp inj,Intravenous,Diabetes medication,no,no,no,no,no,no,no
7217603,insulin lispro (human) 100 unit/ml subcu soln extemp inj,Subcutaneous,Diabetes medication,no,no,no,no,no,no,no
3674938,"insulin lispro, recombinant",SUBQ,Diabetes medication,no,no,no,no,no,no,no
5051161,insulin reg 100 units/100 ml,INTRAVENOU,Diabetes medication,no,no,no,no,no,no,no
5063102,insulin reg 100 units/100 ml,COSIG IV,Diabetes medication,no,no,no,no,no,no,no
1436625,insulin regular human 100 unit/ml ij soln,SC,Diabetes medication,no,no,no,no,no,no,no
1436630,insulin regular human 100 unit/ml ij soln,IV,Diabetes medication,no,no,no,no,no,no,no
5224446,insulin regular human 100 unit/ml inj soln,Intravenous,Diabetes medication,no,no,no,no,no,no,no
2850494,"insulin regular, human",IV,Diabetes medication,no,no,no,no,no,no,no
2850496,"insulin regular, human",SQ,Diabetes medication,no,no,no,no,no,no,no
235631,insulin-glargine *unit* inj,SubQ,Diabetes medication,no,no,no,no,no,no,no
3998057,insulin-lispro (rdna) *unit* inj,SubQ,Diabetes medication,no,no,no,no,no,no,no
2043950,insulin-regular (human) *unit* inj,IRR,Diabetes medication,no,no,no,no,no,no,no
2090855,insulin-regular (human) *unit* inj,IV Push,Diabetes medication,no,no,no,no,no,no,no
2330670,insulin-regular (human) *unit* inj,IV,Diabetes medication,no,no,no,no,no,no,no
3450334,iohexol 350 mg iodine/ml iv soln,Miscellaneou,Contrast agent for imaging purposes,no,no,no,no,no,no,no
4642472,iopamidol,IV,"Contrast to help diagnose brain, heart, head, diseases",no,no,no,no,no,no,no
6415545,iopamidol,RADINJ,"Contrast to help diagnose brain, heart, head, diseases",no,no,no,no,no,no,no
6075300,ipratropium,Inhale,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
6251714,ipratropium,Nebulization,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
4013118,ipratropium 0.5 mg/2.5ml ud inh soln,SVN,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
5934011,ipratropium 0.5 mg/2.5ml ud inh soln,NEB,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
